n,mean,median,win_rate,pf,total_pnl,std,p1,p5,p10,worst,hold_med,hold_mean,hold_p90,mae_med,trig_rate,exec_rate,pending_rate,coll_rate,gap_rate,sample,stop_pct,bound,base_mean,base_median,base_pf,base_p5,base_p10,base_hold_med,base_win,d_mean,d_median,d_pf,d_p5,d_p10,d_hold,d_win
299,1.6441282438907914,-1.9912914951639942,45.48494983277592,0.74936851511827,-1302827.592724912,10.011725957577845,-10.22662768107341,-8.866527074709596,-7.717298053340239,-39.08929023133747,20.0,24.244147157190636,46.39999999999998,-10.373910853057232,51.83946488294314,51.83946488294314,0.33444816053511706,0.0,72.25806451612902,PRIMARY,-10.0,STOP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-3.310946451263841,-7.209801827365441,-0.843739377228751,8.342913142954588,-0.9785879853044044,-8.0,-30.434782608695663
299,1.6441282438907914,-1.9912914951639942,45.48494983277592,0.74936851511827,-1302827.592724912,10.011725957577845,-10.22662768107341,-8.866527074709596,-7.717298053340239,-39.08929023133747,20.0,24.244147157190636,46.39999999999998,-10.373910853057232,51.83946488294314,51.83946488294314,0.33444816053511706,0.0,72.25806451612902,PRIMARY,-10.0,TP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-3.310946451263841,-7.209801827365441,-0.843739377228751,8.342913142954588,-0.9785879853044044,-8.0,-30.434782608695663
299,2.1196362255251806,1.893988027016628,53.51170568561873,0.8144344095444931,-1038165.9404045895,10.36020501108324,-12.69966586685486,-10.621417529610845,-8.580073882034648,-39.08929023133747,22.0,25.765886287625417,48.19999999999999,-10.373910853057232,41.80602006688963,41.80602006688963,0.33444816053511706,0.0,74.4,PRIMARY,-12.5,STOP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-2.8354384696294517,-3.3245223051848187,-0.7786734828025279,6.588022688053339,-1.8413638139988135,-6.0,-22.408026755852852
299,2.1196362255251806,1.893988027016628,53.51170568561873,0.8144344095444931,-1038165.9404045895,10.36020501108324,-12.69966586685486,-10.621417529610845,-8.580073882034648,-39.08929023133747,22.0,25.765886287625417,48.19999999999999,-10.373910853057232,41.80602006688963,41.80602006688963,0.33444816053511706,0.0,74.4,PRIMARY,-12.5,TP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-2.8354384696294517,-3.3245223051848187,-0.7786734828025279,6.588022688053339,-1.8413638139988135,-6.0,-22.408026755852852
299,2.2606796281057497,3.238668828858134,56.52173913043478,0.8003745729333405,-1277258.2692515443,11.006563175991044,-15.171590788411638,-11.619600044602151,-10.170201540279736,-39.08929023133747,23.0,26.60200668896321,49.0,-10.373910853057232,37.79264214046823,37.79264214046823,0.33444816053511706,0.0,69.91150442477876,PRIMARY,-15.0,STOP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-2.6943950670488825,-1.9798415033433132,-0.7927333194136805,5.589840173062033,-3.431491472243901,-5.0,-19.3979933110368
299,2.2606796281057497,3.238668828858134,56.52173913043478,0.8003745729333405,-1277258.2692515443,11.006563175991044,-15.171590788411638,-11.619600044602151,-10.170201540279736,-39.08929023133747,23.0,26.60200668896321,49.0,-10.373910853057232,37.79264214046823,37.79264214046823,0.33444816053511706,0.0,69.91150442477876,PRIMARY,-15.0,TP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-2.6943950670488825,-1.9798415033433132,-0.7927333194136805,5.589840173062033,-3.431491472243901,-5.0,-19.3979933110368
299,2.5122059797470357,3.6254689430868456,62.207357859531776,0.8425233340044693,-1044055.9710880389,11.29643038709674,-17.666544000517174,-13.741383789433856,-11.547861351061393,-39.08929023133747,25.0,27.695652173913043,50.19999999999999,-10.373910853057232,31.77257525083612,31.77257525083612,0.33444816053511706,0.0,66.3157894736842,PRIMARY,-17.5,STOP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-2.4428687154075965,-1.5930413891146014,-0.7505845583425517,3.4680564282303283,-4.809151283025558,-3.0,-13.712374581939805
299,2.5122059797470357,3.6254689430868456,62.207357859531776,0.8425233340044693,-1044055.9710880389,11.29643038709674,-17.666544000517174,-13.741383789433856,-11.547861351061393,-39.08929023133747,25.0,27.695652173913043,50.19999999999999,-10.373910853057232,31.77257525083612,31.77257525083612,0.33444816053511706,0.0,66.3157894736842,PRIMARY,-17.5,TP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-2.4428687154075965,-1.5930413891146014,-0.7505845583425517,3.4680564282303283,-4.809151283025558,-3.0,-13.712374581939805
299,2.8292415514854916,4.052671012057143,66.5551839464883,0.9028621401384131,-652751.2260197175,11.57696884915474,-20.161497212622717,-15.28983024891775,-12.94728753201099,-39.08929023133747,26.0,28.642140468227424,52.19999999999999,-10.373910853057232,26.755852842809364,26.755852842809364,0.33444816053511706,0.0,65.0,PRIMARY,-20.0,STOP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-2.1258331436691407,-1.165839320144304,-0.6902457522086078,1.9196099687464336,-6.208577463975154,-2.0,-9.364548494983282
299,2.8292415514854916,4.052671012057143,66.5551839464883,0.9028621401384131,-652751.2260197175,11.57696884915474,-20.161497212622717,-15.28983024891775,-12.94728753201099,-39.08929023133747,26.0,28.642140468227424,52.19999999999999,-10.373910853057232,26.755852842809364,26.755852842809364,0.33444816053511706,0.0,65.0,PRIMARY,-20.0,TP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-2.1258331436691407,-1.165839320144304,-0.6902457522086078,1.9196099687464336,-6.208577463975154,-2.0,-9.364548494983282
299,3.1046399638828537,4.499483038676097,68.89632107023411,0.8899583592251501,-779945.1469208526,11.663550804713024,-20.59025442669575,-16.020924543886586,-13.413362173504556,-39.08929023133747,26.0,29.438127090301002,53.19999999999999,-10.373910853057232,22.40802675585284,22.40802675585284,0.33444816053511706,0.0,64.17910447761194,PRIMARY,-22.5,STOP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-1.8504347312717786,-0.7190272935253503,-0.7031495331218709,1.188515673777598,-6.674652105468721,-2.0,-7.023411371237472
299,3.1046399638828537,4.499483038676097,68.89632107023411,0.8899583592251501,-779945.1469208526,11.663550804713024,-20.59025442669575,-16.020924543886586,-13.413362173504556,-39.08929023133747,26.0,29.438127090301002,53.19999999999999,-10.373910853057232,22.40802675585284,22.40802675585284,0.33444816053511706,0.0,64.17910447761194,PRIMARY,-22.5,TP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-1.8504347312717786,-0.7190272935253503,-0.7031495331218709,1.188515673777598,-6.674652105468721,-2.0,-7.023411371237472
299,3.4487840024662373,4.681297620587952,70.90301003344482,1.005309346365512,34520.08506751887,11.605874026832419,-23.64960397641333,-16.822094033482973,-14.090719488415386,-39.08929023133747,27.0,30.4247491638796,56.0,-10.373910853057232,17.05685618729097,17.05685618729097,0.33444816053511706,0.0,56.86274509803921,PRIMARY,-25.0,STOP_FIRST,4.955074695154632,5.218510332201447,1.593107892347021,-17.209440217664184,-6.738710068035835,28.0,75.91973244147158,-1.506290692688395,-0.5372127116134946,-0.5877985459815089,0.3873461841812116,-7.352009420379551,-1.0,-5.016722408026766
