date,equity,cash,stock_val,etf_sh,etf_val,n_pos,invested,slot_available,capital_constrained,has_top10_signal
2020-01-02,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-03,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-06,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-07,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-08,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-09,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-10,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-13,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-14,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-15,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-16,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-17,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-20,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-21,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-22,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-01-23,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-03,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-04,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-05,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-06,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-07,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-10,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-11,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-12,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-13,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-14,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-17,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-18,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-19,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-20,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-21,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-24,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-25,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-26,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-27,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-02-28,1000000.0,1000000.0,0.0,0,0.0,0,0.0,True,False,True
2020-03-02,1004324.3473688001,609388.3473688001,394936.0,0,0.0,2,390611.6526311999,True,False,True
2020-03-03,1012205.3473688001,609388.3473688001,402817.0,0,0.0,2,390611.6526311999,True,False,True
2020-03-04,1012018.3473688001,609388.3473688001,402630.0,0,0.0,2,390611.6526311999,True,False,True
2020-03-05,1018821.3473688001,609388.3473688001,409433.0,0,0.0,2,390611.6526311999,True,False,True
2020-03-06,1012591.3473688001,609388.3473688001,403203.0,0,0.0,2,390611.6526311999,True,False,True
2020-03-09,991568.3473688001,609388.3473688001,382180.0,0,0.0,2,390611.6526311999,True,False,True
2020-03-10,1013532.6106947601,422098.6106947601,591434.0,0,0.0,2,577901.3893052399,True,False,True
2020-03-11,1011657.6106947601,422098.6106947601,589559.0,0,0.0,2,577901.3893052399,True,False,True
2020-03-12,989483.6106947601,422098.6106947601,567385.0,0,0.0,2,577901.3893052399,True,False,True
2020-03-13,985447.1397724801,227075.13977248015,758372.0,0,0.0,2,772924.8602275199,True,False,True
2020-03-16,934843.1397724801,227075.13977248015,707768.0,0,0.0,2,772924.8602275199,True,False,True
2020-03-17,933013.9508041901,332.9508041901536,932681.0,0,0.0,3,999667.0491958098,False,False,True
2020-03-18,913028.9508041901,332.9508041901536,912696.0,0,0.0,3,999667.0491958098,False,False,True
2020-03-19,889929.9508041901,332.9508041901536,889597.0,0,0.0,3,999667.0491958098,False,False,True
2020-03-20,901832.9508041901,332.9508041901536,901500.0,0,0.0,3,999667.0491958098,False,False,True
2020-03-23,858450.9508041901,332.9508041901536,858118.0,0,0.0,3,999667.0491958098,False,False,True
2020-03-24,888042.9508041901,332.9508041901536,887710.0,0,0.0,3,999667.0491958098,False,False,True
2020-03-25,927602.9508041901,332.9508041901536,927270.0,0,0.0,3,999667.0491958098,False,False,True
2020-03-26,922018.9508041901,332.9508041901536,921686.0,0,0.0,3,999667.0491958098,False,False,True
2020-03-27,915545.9508041901,332.9508041901536,915213.0,0,0.0,3,999667.0491958098,False,False,True
2020-03-30,912443.9508041901,332.9508041901536,912111.0,0,0.0,3,999667.0491958098,False,False,True
2020-03-31,915736.9508041901,332.9508041901536,915404.0,0,0.0,3,999667.0491958098,False,False,True
2020-04-01,917140.9508041901,332.9508041901536,916808.0,0,0.0,3,999667.0491958098,False,False,True
2020-04-02,929715.9508041901,332.9508041901536,929383.0,0,0.0,3,999667.0491958098,False,False,True
2020-04-03,915348.9508041901,332.9508041901536,915016.0,0,0.0,3,999667.0491958098,False,False,True
2020-04-07,935469.9508041901,332.9508041901536,935137.0,0,0.0,3,999667.0491958098,False,False,True
2020-04-08,925787.9508041901,332.9508041901536,925455.0,0,0.0,3,999667.0491958098,False,False,True
2020-04-09,919350.9508041901,332.9508041901536,919018.0,0,0.0,3,999667.0491958098,False,False,True
2020-04-10,924513.9508041901,332.9508041901536,924181.0,0,0.0,3,999667.0491958098,False,False,True
2020-04-13,906283.9508041901,332.9508041901536,905951.0,0,0.0,3,999667.0491958098,False,False,True
2020-04-14,947934.9508041901,332.9508041901536,947602.0,0,0.0,3,999667.0491958098,False,False,True
2020-04-15,956632.3974481903,388853.3974481902,567779.0,0,0.0,2,593581.9205065699,True,False,True
2020-04-16,952856.3974481903,388853.3974481902,564003.0,0,0.0,2,593581.9205065699,True,False,True
2020-04-17,964064.6967789503,955895.6967789503,8169.0,0,0.0,1,8812.887077989999,True,False,True
2020-04-20,963980.6967789503,955895.6967789503,8085.0,0,0.0,1,8812.887077989999,True,False,True
2020-04-21,963875.6967789503,955895.6967789503,7980.0,0,0.0,1,8812.887077989999,True,False,True
2020-04-22,963896.6967789503,955895.6967789503,8001.0,0,0.0,1,8812.887077989999,True,False,True
2020-04-23,963812.6967789503,955895.6967789503,7917.0,0,0.0,1,8812.887077989999,True,False,True
2020-04-24,963665.6967789503,955895.6967789503,7770.0,0,0.0,1,8812.887077989999,True,False,True
2020-04-27,963602.6967789503,955895.6967789503,7707.0,0,0.0,1,8812.887077989999,True,False,True
2020-04-28,963329.6967789503,955895.6967789503,7434.0,0,0.0,1,8812.887077989999,True,False,True
2020-04-29,966554.9989120103,755924.9989120103,210630.0,0,0.0,1,208783.58494492993,True,False,True
2020-04-30,977764.9989120103,755924.9989120103,221840.0,0,0.0,1,208783.58494492993,True,False,True
2020-05-06,981304.9989120103,755924.9989120103,225380.0,0,0.0,1,208783.58494492993,True,False,True
2020-05-07,978354.9989120103,755924.9989120103,222430.0,0,0.0,1,208783.58494492993,True,False,True
2020-05-08,983664.9989120103,755924.9989120103,227740.0,0,0.0,1,208783.58494492993,True,False,True
2020-05-11,991980.6036154103,991980.6036154103,0.0,0,0.0,0,0.0,True,False,True
2020-05-12,992634.1515644103,795383.1515644103,197251.0,0,0.0,1,196597.45205099997,True,False,True
2020-05-13,991393.1515644103,795383.1515644103,196010.0,0,0.0,1,196597.45205099997,True,False,True
2020-05-14,987194.1515644103,795383.1515644103,191811.0,0,0.0,1,196597.45205099997,True,False,True
2020-05-15,989183.1515644103,795383.1515644103,193800.0,0,0.0,1,196597.45205099997,True,False,True
2020-05-18,998193.1515644103,795383.1515644103,202810.0,0,0.0,1,196597.45205099997,True,False,True
2020-05-19,994130.1515644103,795383.1515644103,198747.0,0,0.0,1,196597.45205099997,True,False,True
2020-05-20,987993.1515644103,795383.1515644103,192610.0,0,0.0,1,196597.45205099997,True,False,True
2020-05-21,990203.1515644103,795383.1515644103,194820.0,0,0.0,1,196597.45205099997,True,False,True
2020-05-22,993552.1515644103,795383.1515644103,198169.0,0,0.0,1,196597.45205099997,True,False,True
2020-05-25,998635.1515644103,795383.1515644103,203252.0,0,0.0,1,196597.45205099997,True,False,True
2020-05-26,998052.3148047703,398269.3148047703,599783.0,0,0.0,3,593711.28881064,False,False,True
2020-05-27,990839.3148047703,398269.3148047703,592570.0,0,0.0,3,593711.28881064,False,False,True
2020-05-28,988380.3148047703,398269.3148047703,590111.0,0,0.0,3,593711.28881064,False,False,True
2020-05-29,988694.3148047703,398269.3148047703,590425.0,0,0.0,3,593711.28881064,False,False,True
2020-06-01,1010337.3148047703,398269.3148047703,612068.0,0,0.0,3,593711.28881064,False,False,True
2020-06-02,1013068.3148047703,398269.3148047703,614799.0,0,0.0,3,593711.28881064,False,False,True
2020-06-03,1010648.3148047703,398269.3148047703,612379.0,0,0.0,3,593711.28881064,False,False,True
2020-06-04,926107.3148047703,398269.3148047703,527838.0,0,0.0,3,593711.28881064,False,False,True
