date,equity
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-20,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-17,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,100000.0
2020-03-16,100000.0
2020-03-17,100000.0
2020-03-18,100000.0
2020-03-19,100000.0
2020-03-20,100000.0
2020-03-23,100000.0
2020-03-24,100000.0
2020-03-25,100000.0
2020-03-26,100000.0
2020-03-27,100000.0
2020-03-30,100000.0
2020-03-31,100000.0
2020-04-01,100000.0
2020-04-02,100000.0
2020-04-03,100000.0
2020-04-07,100000.0
2020-04-08,100000.0
2020-04-09,100000.0
2020-04-10,100000.0
2020-04-13,100000.0
2020-04-14,100000.0
2020-04-15,100000.0
2020-04-16,100000.0
2020-04-17,100000.0
2020-04-20,100000.0
2020-04-21,100000.0
2020-04-22,100000.0
2020-04-23,100000.0
2020-04-24,100000.0
2020-04-27,100000.0
2020-04-28,100000.0
2020-04-29,100000.0
2020-04-30,100000.0
2020-05-06,100000.0
2020-05-07,100000.0
2020-05-08,100000.0
2020-05-11,100000.0
2020-05-12,100000.0
2020-05-13,100000.0
2020-05-14,100000.0
2020-05-15,100000.0
2020-05-18,100000.0
2020-05-19,100000.0
2020-05-20,100000.0
2020-05-21,100000.0
2020-05-22,100000.0
2020-05-25,100000.0
2020-05-26,100000.0
2020-05-27,100000.0
2020-05-28,100000.0
2020-05-29,100000.0
2020-06-01,100000.0
2020-06-02,100000.0
2020-06-03,100000.0
2020-06-04,100000.0
2020-06-05,100000.0
2020-06-08,100000.0
2020-06-09,100000.0
2020-06-10,100000.0
2020-06-11,100000.0
2020-06-12,100000.0
2020-06-15,100000.0
2020-06-16,100000.0
2020-06-17,100000.0
2020-06-18,100000.0
2020-06-19,100000.0
2020-06-22,100000.0
2020-06-23,100000.0
2020-06-24,100000.0
2020-06-29,100000.0
2020-06-30,100000.0
2020-07-01,100000.0
2020-07-02,100000.0
2020-07-03,100000.0
2020-07-06,100000.0
2020-07-07,100000.0
2020-07-08,100000.0
2020-07-09,100000.0
2020-07-10,100000.0
2020-07-13,100000.0
2020-07-14,100000.0
2020-07-15,100000.0
2020-07-16,100000.0
2020-07-17,100000.0
2020-07-20,100000.0
2020-07-21,100000.0
2020-07-22,100000.0
2020-07-23,100000.0
2020-07-24,100000.0
2020-07-27,100000.0
2020-07-28,100000.0
2020-07-29,100000.0
2020-07-30,100000.0
2020-07-31,100000.0
2020-08-03,100000.0
2020-08-04,100000.0
2020-08-05,100000.0
2020-08-06,100000.0
2020-08-07,100000.0
2020-08-10,100000.0
2020-08-11,100000.0
2020-08-12,100000.0
2020-08-13,100000.0
2020-08-14,100000.0
2020-08-17,100000.0
2020-08-18,100000.0
2020-08-19,100000.0
2020-08-20,100000.0
2020-08-21,100000.0
2020-08-24,100000.0
2020-08-25,100000.0
2020-08-26,100000.0
2020-08-27,100000.0
2020-08-28,100000.0
2020-08-31,100000.0
2020-09-01,100000.0
2020-09-02,100000.0
2020-09-03,100000.0
2020-09-04,100000.0
2020-09-07,100000.0
2020-09-08,100000.0
2020-09-09,100000.0
2020-09-10,100000.0
2020-09-11,100000.0
2020-09-14,100000.0
2020-09-15,100000.0
2020-09-16,100000.0
2020-09-17,100000.0
2020-09-18,100000.0
2020-09-21,100000.0
2020-09-22,100000.0
2020-09-23,100000.0
2020-09-24,100000.0
2020-09-25,100000.0
2020-09-28,100000.0
2020-09-29,100000.0
2020-09-30,100000.0
2020-10-09,100000.0
2020-10-12,100000.0
2020-10-13,100000.0
2020-10-14,100000.0
2020-10-15,100000.0
2020-10-16,100000.0
2020-10-19,100000.0
2020-10-20,100000.0
2020-10-21,100000.0
2020-10-22,100000.0
2020-10-23,100000.0
2020-10-26,100000.0
2020-10-27,100000.0
2020-10-28,100000.0
2020-10-29,100000.0
2020-10-30,100000.0
2020-11-02,100000.0
2020-11-03,100000.0
2020-11-04,100000.0
2020-11-05,100000.0
2020-11-06,100000.0
2020-11-09,100000.0
2020-11-10,100000.0
2020-11-11,100000.0
2020-11-12,100000.0
2020-11-13,100000.0
2020-11-16,100000.0
2020-11-17,100000.0
2020-11-18,100000.0
2020-11-19,100000.0
2020-11-20,100000.0
2020-11-23,100000.0
2020-11-24,100000.0
2020-11-25,100000.0
2020-11-26,100000.0
2020-11-27,100000.0
2020-11-30,100000.0
2020-12-01,100000.0
2020-12-02,100000.0
2020-12-03,100000.0
2020-12-04,100000.0
2020-12-07,100000.0
2020-12-08,100000.0
2020-12-09,100000.0
2020-12-10,100000.0
2020-12-11,100000.0
2020-12-14,100000.0
2020-12-15,100000.0
2020-12-16,100000.0
2020-12-17,100000.0
2020-12-18,100000.0
2020-12-21,100000.0
2020-12-22,100000.0
2020-12-23,100000.0
2020-12-24,100000.0
2020-12-25,100000.0
2020-12-28,100000.0
2020-12-29,100000.0
2020-12-30,100000.0
2020-12-31,100000.0
2021-01-04,100000.0
2021-01-05,100000.0
2021-01-06,100000.0
2021-01-07,100000.0
2021-01-08,100000.0
2021-01-11,100000.0
2021-01-12,100000.0
2021-01-13,100000.0
2021-01-14,100000.0
2021-01-15,100000.0
2021-01-18,100000.0
2021-01-19,100000.0
2021-01-20,100000.0
2021-01-21,100000.0
2021-01-22,100000.0
2021-01-25,100000.0
2021-01-26,100000.0
2021-01-27,100000.0
2021-01-28,100000.0
2021-01-29,98790.01120000002
2021-02-01,99949.21120000002
2021-02-02,101421.21120000002
2021-02-03,101310.81120000003
2021-02-04,100982.52960000002
2021-02-05,100784.89440000005
2021-02-08,102095.29440000004
2021-02-09,104606.89440000005
2021-02-10,106699.89440000005
2021-02-18,105786.18960000004
2021-02-19,105786.18960000004
2021-02-22,105786.18960000004
2021-02-23,105786.18960000004
2021-02-24,105786.18960000004
2021-02-25,105786.18960000004
2021-02-26,105786.18960000004
2021-03-01,105786.18960000004
2021-03-02,105786.18960000004
2021-03-03,105786.18960000004
2021-03-04,105786.18960000004
2021-03-05,105786.18960000004
2021-03-08,105786.18960000004
2021-03-09,105786.18960000004
2021-03-10,104928.89700000004
2021-03-11,107483.09700000004
2021-03-12,107740.49700000005
2021-03-15,105720.89700000004
2021-03-16,106248.76160000004
2021-03-17,106248.76160000004
2021-03-18,106248.76160000004
2021-03-19,106248.76160000004
2021-03-22,106248.76160000004
2021-03-23,106248.76160000004
2021-03-24,106248.76160000004
2021-03-25,106591.14980000007
2021-03-26,108702.34980000007
2021-03-29,108905.34980000007
2021-03-30,109798.54980000005
2021-03-31,108919.33480000006
2021-04-01,108919.33480000006
2021-04-02,108919.33480000006
2021-04-06,108919.33480000006
2021-04-07,108919.33480000006
2021-04-08,108919.33480000006
2021-04-09,108919.33480000006
2021-04-12,108919.33480000006
2021-04-13,108815.14020000007
2021-04-14,109377.94020000007
2021-04-15,108815.14020000007
2021-04-16,109136.74020000007
2021-04-19,111541.50130000008
2021-04-20,111541.50130000008
2021-04-21,111541.50130000008
2021-04-22,111541.50130000008
2021-04-23,111541.50130000008
2021-04-26,109969.70700000007
2021-04-27,110220.60700000009
2021-04-28,110954.00700000007
