round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days
0,300750.SZ,,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,3000,-17564.68204523984,-4.33,31
1,601318.SH,,2020-03-02,2020-04-17,TAKE_PROFIT_DYN,3,7900,-17758.334712611977,-3.04,33
2,000725.SZ,,2020-03-17,2020-05-11,TAKE_PROFIT_DYN,2,57200,27443.057094660355,13.64,35
3,000063.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,5300,16503.35348347336,8.34,17
4,002415.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,7100,13731.510913992446,6.9,17
5,002714.SZ,,2020-05-12,2020-07-06,TAKE_PROFIT_DYN,1,1700,-49309.44163747926,-25.08,37
6,600030.SH,,2020-09-08,2020-10-12,TAKE_PROFIT_DYN,1,6600,6581.743237876595,3.33,18
7,002456.SZ,,2020-09-02,2020-10-28,TAKE_PROFIT_DYN,4,45000,-3481.6773735824972,-0.48,34
8,300136.SZ,,2020-10-13,2020-11-09,TAKE_PROFIT_DYN,2,3900,3058.051090255787,1.51,19
9,600745.SH,,2020-09-09,2020-12-07,TAKE_PROFIT_DYN,1,1600,-12521.759578559984,-6.35,57
10,601012.SH,,2020-11-16,2020-12-09,TAKE_PROFIT_DYN,2,5900,44935.56679612567,11.56,17
11,300122.SZ,,2020-11-12,2020-12-21,TAKE_PROFIT_DYN,2,3000,82422.93707002525,21.59,27
12,002475.SZ,,2020-12-15,2020-12-23,TAKE_PROFIT_DYN,1,4000,16940.15663319704,8.52,6
13,000651.SZ,,2020-12-10,2021-01-05,TAKE_PROFIT_DYN,2,6300,18666.68845240702,4.77,17
14,601318.SH,,2021-01-29,2021-02-25,TAKE_PROFIT_DYN,3,7400,55420.04416531348,9.42,14
15,300059.SZ,,2021-02-26,2021-04-02,TAKE_PROFIT_DYN,1,6500,-10855.762042752554,-5.47,25
16,300750.SZ,,2021-02-01,2021-04-14,TAKE_PROFIT_DYN,2,1100,9919.590578850475,2.68,46
17,002475.SZ,,2021-01-29,2021-04-19,TAKE_PROFIT_DYN,4,18000,-140638.23276361637,-17.8,50
18,601166.SH,,2021-04-16,2021-05-12,TAKE_PROFIT_DYN,1,9500,20172.175433354016,10.12,15
19,002352.SZ,,2021-04-13,2021-05-18,TAKE_PROFIT_DYN,2,6000,7347.770612154796,1.87,22
20,600031.SH,,2021-05-14,2021-06-01,TAKE_PROFIT_DYN,1,7200,27764.97744095573,13.93,12
21,002594.SZ,,2021-05-06,2021-06-08,TAKE_PROFIT_DYN,2,2500,131563.82552592183,34.99,23
22,002340.SZ,,2021-06-08,2021-07-06,TAKE_PROFIT_DYN,3,63100,31636.125431640074,5.29,19
23,000661.SZ,,2021-05-25,2021-07-19,TAKE_PROFIT_DYN,3,1100,7772.774603378843,1.75,38
24,600031.SH,,2021-06-15,2021-08-03,TAKE_PROFIT_DYN,3,22300,26446.78991808009,4.43,35
25,002241.SZ,,2021-07-23,2021-08-05,TAKE_PROFIT_DYN,1,5200,20482.876943132957,10.26,9
26,002460.SZ,,2021-08-17,2021-08-30,TAKE_PROFIT_DYN,1,1200,47015.80635218954,24.02,9
27,300750.SZ,,2021-08-17,2021-09-14,TAKE_PROFIT_DYN,1,400,19147.808062755328,9.86,20
28,000858.SZ,,2021-07-09,2021-09-27,TAKE_PROFIT_DYN,5,3700,-74117.03840875835,-8.45,54
29,600111.SH,,2021-09-30,2021-10-25,TAKE_PROFIT_DYN,1,4600,43779.26533458289,22.28,12
30,002466.SZ,,2021-09-23,2021-11-09,TAKE_PROFIT_DYN,2,3800,20545.87808664003,5.28,28
31,601919.SH,,2021-09-29,2021-11-30,TAKE_PROFIT_DYN,2,24700,12082.559413860145,3.04,39
32,600030.SH,,2021-11-17,2021-12-06,TAKE_PROFIT_DYN,1,8300,15779.60539603603,7.94,13
33,000651.SZ,,2021-10-28,2021-12-09,TAKE_PROFIT_DYN,2,11100,14880.31083774136,3.77,30
34,601012.SH,,2021-12-02,2022-03-01,TAKE_PROFIT_DYN,4,9200,35732.08395540016,5.08,57
35,002594.SZ,,2021-12-17,2022-05-05,TAKE_PROFIT_DYN,4,3100,-12470.500515324997,-1.6,88
36,000858.SZ,,2022-03-04,2022-05-30,TAKE_PROFIT_DYN,2,1900,-21217.043905524653,-6.34,56
37,300750.SZ,,2021-12-21,2022-06-02,TAKE_PROFIT_DYN,3,1000,-97947.8259142944,-18.13,106
38,002415.SZ,,2022-05-09,2022-06-08,TAKE_PROFIT_DYN,3,17800,35178.48131254548,5.9,21
39,002241.SZ,,2022-06-24,2022-08-05,TAKE_PROFIT_DYN,1,6200,5665.14482797528,2.84,30
40,600036.SH,,2022-07-14,2022-08-31,TAKE_PROFIT_DYN,3,16800,-9378.929051242303,-1.59,34
41,601888.SH,,2022-08-09,2022-09-26,TAKE_PROFIT_DYN,2,2100,27874.463486190245,7.19,33
42,300274.SZ,,2022-09-01,2022-10-12,TAKE_PROFIT_DYN,2,3500,50964.723537385114,13.21,23
43,601899.SH,,2022-09-27,2022-10-27,TAKE_PROFIT_DYN,2,52000,33980.60838873399,8.5,17
