ts_code,name,buy_date,sell_date,shares_sold,dividend_date,dividend_gross,holding_days,tax_rate,tax_due,cash_before,cash_after
002415.SZ,,2020-05-26,2020-06-18,7100,2020-05-29,4970.0,22,0.2,994.0,218435.34,217441.34
002352.SZ,,2021-04-13,2021-05-18,3000,2021-04-20,990.0,34,0.1,99.0,4461.13,4362.13
002352.SZ,,2021-04-15,2021-05-18,3000,2021-04-20,990.0,32,0.1,99.0,4461.13,4263.13
002340.SZ,,2021-06-08,2021-07-06,20400,2021-06-18,306.0,27,0.2,61.2,24627.73,24566.53
002340.SZ,,2021-06-10,2021-07-06,21000,2021-06-18,315.0,25,0.2,63.0,24627.73,24503.53
002340.SZ,,2021-06-16,2021-07-06,21700,2021-06-18,325.5,19,0.2,65.1,24627.73,24438.43
600031.SH,,2021-06-15,2021-08-03,7000,2021-06-16,4200.0,48,0.1,420.0,5214.27,4794.27
600036.SH,,2022-07-14,2022-08-31,5300,2022-07-15,8066.6,47,0.1,806.66,5015.82,4209.16
002594.SZ,,2022-07-13,2022-11-04,600,2022-07-29,63.0,113,0.1,6.3,1230.54,1224.24
600809.SH,,2023-05-23,2023-07-25,900,2023-06-26,2988.0,62,0.1,298.8,5026.34,4727.54
600809.SH,,2023-05-25,2023-07-25,900,2023-06-26,2988.0,60,0.1,298.8,5026.34,4428.74
603019.SH,,2024-03-28,2024-06-19,4200,2024-06-06,714.0,82,0.1,71.4,4684.86,4613.46
603019.SH,,2024-05-27,2024-06-19,4800,2024-06-06,816.0,22,0.2,163.2,4684.86,4450.26
000625.SZ,,2024-05-07,2024-07-10,13300,2024-05-24,4561.9,63,0.1,456.19,5096.14,4639.95
601899.SH,,2024-07-24,2024-09-25,12100,2024-08-09,1210.0,62,0.1,121.0,637557.86,637436.86
601899.SH,,2024-07-26,2024-09-25,12800,2024-08-09,1280.0,60,0.1,128.0,637557.86,637308.86
000063.SZ,,2025-03-04,2025-05-07,5500,2025-04-16,3393.5,63,0.1,339.35,812307.32,811967.97
000063.SZ,,2025-04-09,2025-05-07,6700,2025-04-16,4133.9,27,0.2,826.78,812307.32,811141.19
600519.SH,,2025-06-16,2025-07-09,100,2025-06-26,2767.3,22,0.2,553.46,1579155.37,1578601.91
002475.SZ,,2026-01-09,2026-04-08,3600,2026-02-12,575.69,88,0.1,57.57,5203.39,5145.82
002475.SZ,,2026-01-14,2026-04-08,3600,2026-02-12,575.69,83,0.1,57.57,5203.39,5088.25
002475.SZ,,2026-01-30,2026-04-08,3800,2026-02-12,607.68,67,0.1,60.77,5203.39,5027.48
