date,eligible_count,n_signal,open_positions,n_entries,n_exits,invested_pct
2006-05-15,1,0,0,0,0,0.0
2006-05-16,1,0,0,0,0,0.0
2006-05-17,1,0,0,0,0,0.0
2006-05-18,1,0,0,0,0,0.0
2006-05-19,1,0,0,0,0,0.0
2006-05-22,1,0,0,0,0,0.0
2006-05-23,1,0,0,0,0,0.0
2006-05-24,1,0,0,0,0,0.0
2006-05-25,1,0,0,0,0,0.0
2006-05-26,1,0,0,0,0,0.0
2006-05-29,1,0,0,0,0,0.0
2006-05-30,1,0,0,0,0,0.0
2006-05-31,1,0,0,0,0,0.0
2006-06-01,1,0,0,0,0,0.0
2006-06-02,1,0,0,0,0,0.0
2006-06-05,1,0,0,0,0,0.0
2006-06-06,1,0,0,0,0,0.0
2006-06-07,1,0,0,0,0,0.0
2006-06-08,1,0,0,0,0,0.0
2006-06-09,1,0,0,0,0,0.0
2006-06-12,1,0,0,0,0,0.0
2006-06-13,1,0,0,0,0,0.0
2006-06-14,1,0,0,0,0,0.0
2006-06-15,1,0,0,0,0,0.0
2006-06-16,1,0,0,0,0,0.0
2006-06-19,1,0,0,0,0,0.0
2006-06-20,1,0,0,0,0,0.0
2006-06-21,1,0,0,0,0,0.0
2006-06-22,1,0,0,0,0,0.0
2006-06-23,1,0,0,0,0,0.0
2006-06-26,1,0,0,0,0,0.0
2006-06-27,1,0,0,0,0,0.0
2006-06-28,1,0,0,0,0,0.0
2006-06-29,1,0,0,0,0,0.0
2006-06-30,1,0,0,0,0,0.0
2006-07-03,1,0,0,0,0,0.0
2006-07-04,1,0,0,0,0,0.0
2006-07-05,1,0,0,0,0,0.0
2006-07-06,1,0,0,0,0,0.0
2006-07-07,1,0,0,0,0,0.0
2006-07-10,1,0,0,0,0,0.0
2006-07-11,1,0,0,0,0,0.0
2006-07-12,1,0,0,0,0,0.0
2006-07-13,1,0,0,0,0,0.0
2006-07-14,1,0,0,0,0,0.0
2006-07-17,1,0,0,0,0,0.0
2006-07-18,1,0,0,0,0,0.0
2006-07-19,1,0,0,0,0,0.0
2006-07-20,1,0,0,0,0,0.0
2006-07-21,2,0,0,0,0,0.0
2006-07-24,2,0,0,0,0,0.0
2006-07-25,2,0,0,0,0,0.0
2006-07-26,2,0,0,0,0,0.0
2006-07-27,2,0,0,0,0,0.0
2006-07-28,2,0,0,0,0,0.0
2006-07-31,2,1,0,0,0,0.0
2006-08-01,2,2,1,1,0,0.19818089974718403
2006-08-02,2,1,2,1,0,0.3965896419987274
