date,index_key,etf,close_adj,signal_ratio,n_signals,n_eligible,reason
2006-07-31,399330.SZ,159901.SZ,1.285,0.5,1,2,high_breadth_blocked
2006-08-01,399330.SZ,159901.SZ,1.27,0.5,1,2,high_breadth_blocked
2006-08-02,399330.SZ,159901.SZ,1.26,0.5,1,2,high_breadth_blocked
2006-08-04,399330.SZ,159901.SZ,1.226,0.5,1,2,high_breadth_blocked
2006-08-07,399330.SZ,159901.SZ,1.206,0.5,1,2,high_breadth_blocked
2007-07-05,399330.SZ,159901.SZ,3.835,0.25,1,4,high_breadth_blocked
2007-10-25,399330.SZ,159901.SZ,5.478,0.2,1,5,high_breadth_blocked
2007-11-08,399330.SZ,159901.SZ,5.218,0.2,1,5,high_breadth_blocked
2007-11-09,399330.SZ,159901.SZ,5.144,0.2,1,5,high_breadth_blocked
2007-11-12,399330.SZ,159901.SZ,5.053,0.2,1,5,high_breadth_blocked
2007-11-13,399330.SZ,159901.SZ,4.996,0.2,1,5,high_breadth_blocked
2008-01-22,399330.SZ,159901.SZ,4.902,0.2,1,5,high_breadth_blocked
2008-03-12,399330.SZ,159901.SZ,4.594,0.2,1,5,high_breadth_blocked
2008-03-13,399330.SZ,159901.SZ,4.422,0.2,1,5,high_breadth_blocked
2008-03-14,399330.SZ,159901.SZ,4.376,0.2,1,5,high_breadth_blocked
2008-03-17,399330.SZ,159901.SZ,4.14,0.2,1,5,high_breadth_blocked
2008-03-18,399330.SZ,159901.SZ,3.876,0.2,1,5,high_breadth_blocked
2008-04-17,399330.SZ,159901.SZ,3.648,0.2,1,5,high_breadth_blocked
2008-04-18,399330.SZ,159901.SZ,3.483,0.2,1,5,high_breadth_blocked
2008-04-21,399330.SZ,159901.SZ,3.43,0.2,1,5,high_breadth_blocked
2008-05-26,399330.SZ,159901.SZ,3.735,0.2,1,5,high_breadth_blocked
2008-06-10,399330.SZ,159901.SZ,3.305,0.2,1,5,high_breadth_blocked
2008-06-11,399330.SZ,159901.SZ,3.248,0.2,1,5,high_breadth_blocked
2008-06-12,399330.SZ,159901.SZ,3.2,0.2,1,5,high_breadth_blocked
2008-06-13,399330.SZ,159901.SZ,3.09,0.2,1,5,high_breadth_blocked
2008-06-16,399330.SZ,159901.SZ,3.051,0.2,1,5,high_breadth_blocked
2008-06-17,399330.SZ,159901.SZ,2.92,0.2,1,5,high_breadth_blocked
2008-08-05,399330.SZ,159901.SZ,2.84,0.2,1,5,high_breadth_blocked
2008-08-08,399330.SZ,159901.SZ,2.673,0.2,1,5,high_breadth_blocked
2008-08-11,399330.SZ,159901.SZ,2.512,0.2,1,5,high_breadth_blocked
2008-08-12,399330.SZ,159901.SZ,2.505,0.2,1,5,high_breadth_blocked
2008-09-08,399330.SZ,159901.SZ,2.115,0.2,1,5,high_breadth_blocked
2008-10-10,399330.SZ,159901.SZ,1.89,0.2,1,5,high_breadth_blocked
2009-08-12,399330.SZ,159901.SZ,3.82,0.2,1,5,high_breadth_blocked
2009-08-14,399330.SZ,159901.SZ,3.783,0.2,1,5,high_breadth_blocked
2009-08-17,399330.SZ,159901.SZ,3.531,0.2,1,5,high_breadth_blocked
2009-08-18,399330.SZ,159901.SZ,3.554,0.2,1,5,high_breadth_blocked
2009-08-19,399330.SZ,159901.SZ,3.37,0.2,1,5,high_breadth_blocked
2009-12-18,399330.SZ,159901.SZ,3.98,0.2,1,5,high_breadth_blocked
2009-12-22,399330.SZ,159901.SZ,3.908,0.2,1,5,high_breadth_blocked
2010-01-22,399330.SZ,159901.SZ,3.95,0.16666666666666666,1,6,high_breadth_blocked
2010-01-25,399330.SZ,159901.SZ,3.898,0.16666666666666666,1,6,high_breadth_blocked
2010-01-26,399330.SZ,159901.SZ,3.793,0.16666666666666666,1,6,high_breadth_blocked
2010-01-27,399330.SZ,159901.SZ,3.77,0.16666666666666666,1,6,high_breadth_blocked
2010-04-19,399330.SZ,159901.SZ,3.775,0.16666666666666666,1,6,high_breadth_blocked
2010-04-20,399330.SZ,159901.SZ,3.736,0.16666666666666666,1,6,high_breadth_blocked
2010-05-06,399330.SZ,159901.SZ,3.42,0.14285714285714285,1,7,high_breadth_blocked
2010-05-07,399330.SZ,159901.SZ,3.332,0.14285714285714285,1,7,high_breadth_blocked
2010-06-29,399330.SZ,159901.SZ,3.066,0.125,1,8,high_breadth_blocked
2010-06-30,399330.SZ,159901.SZ,3.007,0.125,1,8,high_breadth_blocked
2010-07-01,399330.SZ,159901.SZ,2.964,0.125,1,8,high_breadth_blocked
2010-07-02,399330.SZ,159901.SZ,2.956,0.125,1,8,high_breadth_blocked
2010-11-16,399330.SZ,159901.SZ,4.013,0.125,1,8,high_breadth_blocked
2010-11-17,399330.SZ,159901.SZ,3.895,0.3333333333333333,3,9,high_breadth_blocked
2010-11-17,000044.SH,510130.SH,3.106,0.3333333333333333,3,9,high_breadth_blocked
2010-11-17,000029.SH,510030.SH,2.611,0.3333333333333333,3,9,high_breadth_blocked
2010-12-28,399330.SZ,159901.SZ,0.786,0.25,2,8,high_breadth_blocked
2010-12-28,000044.SH,510130.SH,3.063,0.25,2,8,high_breadth_blocked
2011-01-17,399330.SZ,159901.SZ,0.758,0.2857142857142857,2,7,high_breadth_blocked
2011-01-17,000044.SH,510130.SH,2.994,0.2857142857142857,2,7,high_breadth_blocked
2011-01-18,399330.SZ,159901.SZ,0.759,0.2857142857142857,2,7,high_breadth_blocked
2011-01-18,000044.SH,510130.SH,2.977,0.2857142857142857,2,7,high_breadth_blocked
2011-01-20,399330.SZ,159901.SZ,0.75,0.14285714285714285,1,7,high_breadth_blocked
2011-04-25,399330.SZ,159901.SZ,0.819,0.2857142857142857,2,7,high_breadth_blocked
2011-04-25,000044.SH,510130.SH,3.226,0.2857142857142857,2,7,high_breadth_blocked
2011-04-26,399330.SZ,159901.SZ,0.814,0.2857142857142857,2,7,high_breadth_blocked
2011-04-26,000044.SH,510130.SH,3.189,0.2857142857142857,2,7,high_breadth_blocked
2011-04-27,399330.SZ,159901.SZ,0.807,0.2857142857142857,2,7,high_breadth_blocked
2011-04-27,000044.SH,510130.SH,3.165,0.2857142857142857,2,7,high_breadth_blocked
2011-04-28,399330.SZ,159901.SZ,0.791,0.2857142857142857,2,7,high_breadth_blocked
2011-04-28,000044.SH,510130.SH,3.067,0.2857142857142857,2,7,high_breadth_blocked
2011-05-23,399330.SZ,159901.SZ,0.764,0.25,2,8,high_breadth_blocked
2011-05-23,000044.SH,510130.SH,2.965,0.25,2,8,high_breadth_blocked
2011-05-24,399330.SZ,159901.SZ,0.763,0.25,2,8,high_breadth_blocked
2011-05-24,000044.SH,510130.SH,2.973,0.25,2,8,high_breadth_blocked
2011-05-25,399330.SZ,159901.SZ,0.757,0.375,3,8,high_breadth_blocked
2011-05-25,000029.SH,510030.SH,2.558,0.375,3,8,high_breadth_blocked
2011-05-25,000044.SH,510130.SH,2.94,0.375,3,8,high_breadth_blocked
2011-05-26,399330.SZ,159901.SZ,0.751,0.25,2,8,high_breadth_blocked
2011-05-26,000044.SH,510130.SH,2.928,0.25,2,8,high_breadth_blocked
2011-05-27,399330.SZ,159901.SZ,0.745,0.25,2,8,high_breadth_blocked
2011-05-27,000044.SH,510130.SH,2.87,0.25,2,8,high_breadth_blocked
2011-05-30,399330.SZ,159901.SZ,0.74,0.25,2,8,high_breadth_blocked
2011-05-30,000044.SH,510130.SH,2.85,0.25,2,8,high_breadth_blocked
2011-06-20,399330.SZ,159901.SZ,0.727,0.14285714285714285,1,7,high_breadth_blocked
2011-08-08,399330.SZ,159901.SZ,0.727,0.2,1,5,high_breadth_blocked
2011-08-09,399330.SZ,159901.SZ,0.727,0.2,1,5,high_breadth_blocked
2011-09-05,399330.SZ,159901.SZ,0.706,0.2,1,5,high_breadth_blocked
2011-09-06,399330.SZ,159901.SZ,0.696,0.2,1,5,high_breadth_blocked
2011-10-20,399330.SZ,159901.SZ,0.625,0.25,1,4,high_breadth_blocked
2011-10-21,399330.SZ,159901.SZ,0.618,0.25,1,4,high_breadth_blocked
2011-12-13,399330.SZ,159901.SZ,0.591,0.25,1,4,high_breadth_blocked
2011-12-14,399330.SZ,159901.SZ,0.583,0.25,1,4,high_breadth_blocked
2011-12-15,399330.SZ,159901.SZ,0.568,0.25,1,4,high_breadth_blocked
2012-03-23,399330.SZ,159901.SZ,0.627,0.2857142857142857,2,7,high_breadth_blocked
2012-03-23,399007.SZ,159912.SZ,0.921,0.2857142857142857,2,7,high_breadth_blocked
2012-03-28,399330.SZ,159901.SZ,0.602,0.2857142857142857,2,7,high_breadth_blocked
2012-03-28,399007.SZ,159912.SZ,0.884,0.2857142857142857,2,7,high_breadth_blocked
2012-03-29,399330.SZ,159901.SZ,0.597,0.2857142857142857,2,7,high_breadth_blocked
2012-03-29,399007.SZ,159912.SZ,0.869,0.2857142857142857,2,7,high_breadth_blocked
2012-03-30,399330.SZ,159901.SZ,0.595,0.2857142857142857,2,7,high_breadth_blocked
2012-03-30,399007.SZ,159912.SZ,0.872,0.2857142857142857,2,7,high_breadth_blocked
2012-06-25,399330.SZ,159901.SZ,0.603,0.16666666666666666,1,6,high_breadth_blocked
2012-06-26,399330.SZ,159901.SZ,0.604,0.16666666666666666,1,6,high_breadth_blocked
2012-07-23,399330.SZ,159901.SZ,0.584,0.16666666666666666,1,6,high_breadth_blocked
2012-07-26,399330.SZ,159901.SZ,0.579,0.16666666666666666,1,6,high_breadth_blocked
2012-08-24,399330.SZ,159901.SZ,0.554,0.16666666666666666,1,6,high_breadth_blocked
2012-08-27,000300.SH,510300.SH,2.268,0.3333333333333333,2,6,high_breadth_blocked
2012-08-27,399330.SZ,159901.SZ,0.541,0.3333333333333333,2,6,high_breadth_blocked
2012-08-28,399330.SZ,159901.SZ,0.541,0.16666666666666666,1,6,high_breadth_blocked
2012-08-29,399330.SZ,159901.SZ,0.535,0.16666666666666666,1,6,high_breadth_blocked
2013-06-13,000300.SH,510300.SH,2.417,0.25,2,8,high_breadth_blocked
2013-06-13,399330.SZ,159901.SZ,0.576,0.25,2,8,high_breadth_blocked
2013-06-14,000300.SH,510300.SH,2.434,0.125,1,8,high_breadth_blocked
2013-06-17,000300.SH,510300.SH,2.419,0.125,1,8,high_breadth_blocked
2013-06-20,000300.SH,510300.SH,2.345,0.2222222222222222,2,9,high_breadth_blocked
2013-06-20,399330.SZ,159901.SZ,0.561,0.2222222222222222,2,9,high_breadth_blocked
2013-06-24,000300.SH,510300.SH,2.191,0.25,2,8,high_breadth_blocked
2013-06-24,399330.SZ,159901.SZ,0.518,0.25,2,8,high_breadth_blocked
2013-06-25,000300.SH,510300.SH,2.192,0.25,2,8,high_breadth_blocked
2013-06-25,399330.SZ,159901.SZ,0.515,0.25,2,8,high_breadth_blocked
2013-08-16,000037.SH,510660.SH,1.058,0.125,1,8,high_breadth_blocked
2013-10-25,000300.SH,510300.SH,2.415,0.1111111111111111,1,9,high_breadth_blocked
2013-10-28,000037.SH,510660.SH,1.057,0.1111111111111111,1,9,high_breadth_blocked
2013-10-29,000037.SH,510660.SH,1.036,0.1111111111111111,1,9,high_breadth_blocked
2013-10-31,000037.SH,510660.SH,1.032,0.1111111111111111,1,9,high_breadth_blocked
2013-11-08,000300.SH,510300.SH,2.36,0.1111111111111111,1,9,high_breadth_blocked
2013-12-17,000300.SH,510300.SH,2.405,0.2,2,10,high_breadth_blocked
2013-12-17,399330.SZ,159901.SZ,0.563,0.2,2,10,high_breadth_blocked
2013-12-19,000300.SH,510300.SH,2.384,0.1111111111111111,1,9,high_breadth_blocked
2013-12-20,000300.SH,510300.SH,2.333,0.25,2,8,high_breadth_blocked
2013-12-20,399330.SZ,159901.SZ,0.55,0.25,2,8,high_breadth_blocked
2013-12-23,000300.SH,510300.SH,2.333,0.2222222222222222,2,9,high_breadth_blocked
2013-12-23,399330.SZ,159901.SZ,0.55,0.2222222222222222,2,9,high_breadth_blocked
2014-01-10,399330.SZ,159901.SZ,0.533,0.1,1,10,high_breadth_blocked
2014-01-13,399330.SZ,159901.SZ,0.528,0.1,1,10,high_breadth_blocked
2014-01-20,000037.SH,510660.SH,1.018,0.1,1,10,high_breadth_blocked
2014-02-25,000300.SH,510300.SH,2.151,0.2,2,10,high_breadth_blocked
2014-02-25,399330.SZ,159901.SZ,0.522,0.2,2,10,high_breadth_blocked
2014-02-26,399330.SZ,159901.SZ,0.524,0.1,1,10,high_breadth_blocked
2014-02-27,399330.SZ,159901.SZ,0.514,0.1,1,10,high_breadth_blocked
2014-03-10,000037.SH,510660.SH,1.04,0.1,1,10,high_breadth_blocked
2014-04-24,000037.SH,510660.SH,0.997,0.1,1,10,high_breadth_blocked
2014-04-25,000037.SH,510660.SH,0.979,0.1,1,10,high_breadth_blocked
2014-04-28,399330.SZ,159901.SZ,0.505,0.2,2,10,high_breadth_blocked
2014-04-28,000037.SH,510660.SH,0.954,0.2,2,10,high_breadth_blocked
2014-10-27,000300.SH,510300.SH,2.41,0.2,2,10,high_breadth_blocked
2014-10-27,399330.SZ,159901.SZ,2.876,0.2,2,10,high_breadth_blocked
2015-02-02,000029.SH,510030.SH,3.57,0.15,3,20,high_breadth_blocked
2015-02-02,000010.SH,510010.SH,0.982,0.15,3,20,high_breadth_blocked
2015-02-02,000063.SH,510110.SH,3.21,0.15,3,20,high_breadth_blocked
2015-06-19,000300.SH,510300.SH,4.603,0.3,9,30,high_breadth_blocked
2015-06-19,399330.SZ,159901.SZ,5.48,0.3,9,30,high_breadth_blocked
2015-06-19,000010.SH,510010.SH,1.31,0.3,9,30,high_breadth_blocked
2015-06-19,000067.SH,510260.SH,1.816,0.3,9,30,high_breadth_blocked
2015-06-19,000044.SH,510130.SH,5.31,0.3,9,30,high_breadth_blocked
2015-06-19,000037.SH,510660.SH,1.875,0.3,9,30,high_breadth_blocked
2015-06-19,399324.SZ,159905.SZ,1.408,0.3,9,30,high_breadth_blocked
2015-06-19,000029.SH,510030.SH,4.66,0.3,9,30,high_breadth_blocked
2015-06-26,399330.SZ,159901.SZ,5.056,0.3939393939393939,13,33,high_breadth_blocked
2015-06-26,000300.SH,510300.SH,4.346,0.3939393939393939,13,33,high_breadth_blocked
2015-06-26,000067.SH,510260.SH,1.626,0.3939393939393939,13,33,high_breadth_blocked
2015-06-26,000010.SH,510010.SH,1.222,0.3939393939393939,13,33,high_breadth_blocked
2015-06-26,000029.SH,510030.SH,4.488,0.3939393939393939,13,33,high_breadth_blocked
2015-06-26,000044.SH,510130.SH,4.928,0.3939393939393939,13,33,high_breadth_blocked
2015-06-26,399324.SZ,159905.SZ,1.341,0.3939393939393939,13,33,high_breadth_blocked
2015-06-26,000009.SH,510290.SH,2.153,0.3939393939393939,13,33,high_breadth_blocked
2015-06-26,000063.SH,510110.SH,3.589,0.3939393939393939,13,33,high_breadth_blocked
2015-06-29,000300.SH,510300.SH,4.182,0.3939393939393939,13,33,high_breadth_blocked
2015-06-29,399330.SZ,159901.SZ,4.815,0.3939393939393939,13,33,high_breadth_blocked
2015-06-29,000067.SH,510260.SH,1.512,0.3939393939393939,13,33,high_breadth_blocked
2015-06-29,000010.SH,510010.SH,1.183,0.3939393939393939,13,33,high_breadth_blocked
2015-06-29,399324.SZ,159905.SZ,1.308,0.3939393939393939,13,33,high_breadth_blocked
2015-06-29,000029.SH,510030.SH,4.478,0.3939393939393939,13,33,high_breadth_blocked
2015-06-29,000044.SH,510130.SH,4.718,0.3939393939393939,13,33,high_breadth_blocked
2015-06-29,000009.SH,510290.SH,2.036,0.3939393939393939,13,33,high_breadth_blocked
2015-06-29,000037.SH,510660.SH,1.643,0.3939393939393939,13,33,high_breadth_blocked
2015-06-29,000063.SH,510110.SH,3.6,0.3939393939393939,13,33,high_breadth_blocked
2015-07-02,000044.SH,510130.SH,4.422,0.12121212121212122,4,33,high_breadth_blocked
2015-07-02,000032.SH,510610.SH,1.149,0.12121212121212122,4,33,high_breadth_blocked
2015-07-03,399330.SZ,159901.SZ,4.63,0.21212121212121213,7,33,high_breadth_blocked
2015-07-03,000044.SH,510130.SH,4.195,0.21212121212121213,7,33,high_breadth_blocked
2015-07-03,000032.SH,510610.SH,1.076,0.21212121212121213,7,33,high_breadth_blocked
2015-07-03,000067.SH,510260.SH,1.333,0.21212121212121213,7,33,high_breadth_blocked
2015-07-03,399324.SZ,159905.SZ,1.191,0.21212121212121213,7,33,high_breadth_blocked
2015-08-21,000300.SH,510300.SH,3.625,0.16666666666666666,6,36,high_breadth_blocked
2015-08-21,399330.SZ,159901.SZ,4.31,0.16666666666666666,6,36,high_breadth_blocked
2015-08-21,000010.SH,510010.SH,1.02,0.16666666666666666,6,36,high_breadth_blocked
2015-08-21,399324.SZ,159905.SZ,1.102,0.16666666666666666,6,36,high_breadth_blocked
2015-08-21,000016.SH,510190.SH,3.78,0.16666666666666666,6,36,high_breadth_blocked
2015-08-21,000029.SH,510030.SH,3.8,0.16666666666666666,6,36,high_breadth_blocked
2015-08-24,000300.SH,510300.SH,3.263,0.3611111111111111,13,36,high_breadth_blocked
2015-08-24,399330.SZ,159901.SZ,3.879,0.3611111111111111,13,36,high_breadth_blocked
2015-08-24,000010.SH,510010.SH,0.918,0.3611111111111111,13,36,high_breadth_blocked
2015-08-24,000032.SH,510610.SH,0.897,0.3611111111111111,13,36,high_breadth_blocked
2015-08-24,000009.SH,510290.SH,1.64,0.3611111111111111,13,36,high_breadth_blocked
2015-08-24,000016.SH,510190.SH,3.402,0.3611111111111111,13,36,high_breadth_blocked
2015-08-24,000029.SH,510030.SH,3.49,0.3611111111111111,13,36,high_breadth_blocked
2015-08-24,399324.SZ,159905.SZ,0.993,0.3611111111111111,13,36,high_breadth_blocked
2015-08-24,000037.SH,510660.SH,1.427,0.3611111111111111,13,36,high_breadth_blocked
2015-08-24,399303.SZ,159907.SZ,1.431,0.3611111111111111,13,36,high_breadth_blocked
2015-08-25,000300.SH,510300.SH,2.983,0.37142857142857144,13,35,high_breadth_blocked
2015-08-25,399330.SZ,159901.SZ,3.491,0.37142857142857144,13,35,high_breadth_blocked
2015-08-25,000010.SH,510010.SH,0.831,0.37142857142857144,13,35,high_breadth_blocked
2015-08-25,000032.SH,510610.SH,0.816,0.37142857142857144,13,35,high_breadth_blocked
2015-08-25,000009.SH,510290.SH,1.476,0.37142857142857144,13,35,high_breadth_blocked
2015-08-25,399324.SZ,159905.SZ,0.894,0.37142857142857144,13,35,high_breadth_blocked
2015-08-25,000029.SH,510030.SH,3.215,0.37142857142857144,13,35,high_breadth_blocked
2015-08-25,000016.SH,510190.SH,3.062,0.37142857142857144,13,35,high_breadth_blocked
2015-08-25,000037.SH,510660.SH,1.284,0.37142857142857144,13,35,high_breadth_blocked
2015-08-25,399303.SZ,159907.SZ,1.288,0.37142857142857144,13,35,high_breadth_blocked
2015-08-26,000300.SH,510300.SH,3.067,0.37142857142857144,13,35,high_breadth_blocked
2015-08-26,399330.SZ,159901.SZ,3.518,0.37142857142857144,13,35,high_breadth_blocked
2015-08-26,000010.SH,510010.SH,0.869,0.37142857142857144,13,35,high_breadth_blocked
2015-08-26,000029.SH,510030.SH,3.291,0.37142857142857144,13,35,high_breadth_blocked
2015-08-26,000009.SH,510290.SH,1.484,0.37142857142857144,13,35,high_breadth_blocked
2015-08-26,000037.SH,510660.SH,1.305,0.37142857142857144,13,35,high_breadth_blocked
2015-08-26,000032.SH,510610.SH,0.801,0.37142857142857144,13,35,high_breadth_blocked
2015-08-26,399324.SZ,159905.SZ,0.957,0.37142857142857144,13,35,high_breadth_blocked
2015-08-26,000016.SH,510190.SH,3.1,0.37142857142857144,13,35,high_breadth_blocked
2015-08-26,000067.SH,510260.SH,1.137,0.37142857142857144,13,35,high_breadth_blocked
2016-01-04,000300.SH,510300.SH,3.7029125000000005,0.2857142857142857,2,7,high_breadth_blocked
2016-01-04,399330.SZ,159901.SZ,4.4175802,0.2857142857142857,2,7,high_breadth_blocked
2016-01-05,000300.SH,510300.SH,3.6945325000000007,0.14285714285714285,1,7,high_breadth_blocked
2016-01-07,000300.SH,510300.SH,3.64949,0.2857142857142857,2,7,high_breadth_blocked
2016-01-07,399330.SZ,159901.SZ,4.1516595999999995,0.2857142857142857,2,7,high_breadth_blocked
2016-01-11,000300.SH,510300.SH,3.3865675000000004,0.2857142857142857,2,7,high_breadth_blocked
2016-01-11,399330.SZ,159901.SZ,3.9795327,0.2857142857142857,2,7,high_breadth_blocked
2016-04-21,399330.SZ,159901.SZ,3.8774933999999996,0.14285714285714285,1,7,high_breadth_blocked
2016-05-09,000300.SH,510300.SH,3.2607088,0.2857142857142857,2,7,high_breadth_blocked
2016-05-09,399330.SZ,159901.SZ,3.8053444,0.2857142857142857,2,7,high_breadth_blocked
2016-05-10,000300.SH,510300.SH,3.2575162,0.14285714285714285,1,7,high_breadth_blocked
2016-09-12,000300.SH,510300.SH,3.5299514000000003,0.3333333333333333,2,6,high_breadth_blocked
2016-09-12,399330.SZ,159901.SZ,4.1403219,0.3333333333333333,2,6,high_breadth_blocked
2016-09-13,000300.SH,510300.SH,3.5299514000000003,0.16666666666666666,1,6,high_breadth_blocked
2016-09-14,000300.SH,510300.SH,3.5086674,0.3333333333333333,2,6,high_breadth_blocked
2016-09-14,399330.SZ,159901.SZ,4.141352599999999,0.3333333333333333,2,6,high_breadth_blocked
2016-09-26,000300.SH,510300.SH,3.4958970000000003,0.16666666666666666,1,6,high_breadth_blocked
2016-12-12,399330.SZ,159901.SZ,4.171242899999999,0.1111111111111111,1,9,high_breadth_blocked
2016-12-13,399330.SZ,159901.SZ,4.1763964,0.1111111111111111,1,9,high_breadth_blocked
2016-12-14,399330.SZ,159901.SZ,4.1238307,0.1111111111111111,1,9,high_breadth_blocked
2016-12-15,000300.SH,510300.SH,3.612959,0.2222222222222222,2,9,high_breadth_blocked
2016-12-15,399330.SZ,159901.SZ,4.112493,0.2222222222222222,2,9,high_breadth_blocked
2017-01-16,399330.SZ,159901.SZ,3.9321205,0.1111111111111111,1,9,high_breadth_blocked
2017-04-24,399330.SZ,159901.SZ,4.2155629999999995,0.125,1,8,high_breadth_blocked
2017-05-05,399330.SZ,159901.SZ,4.1908262,0.125,1,8,high_breadth_blocked
2017-05-08,000300.SH,510300.SH,3.617952,0.25,2,8,high_breadth_blocked
2017-05-08,399330.SZ,159901.SZ,4.0970325,0.25,2,8,high_breadth_blocked
2017-05-09,399330.SZ,159901.SZ,4.1063088,0.125,1,8,high_breadth_blocked
2017-05-10,399330.SZ,159901.SZ,4.0764185,0.125,1,8,high_breadth_blocked
2017-08-11,000300.SH,510300.SH,4.00192,0.1111111111111111,1,9,high_breadth_blocked
2017-10-30,399967.SZ,512660.SH,0.886,0.1,1,10,high_breadth_blocked
2018-02-01,399330.SZ,159901.SZ,5.226679699999999,0.1,1,10,high_breadth_blocked
2018-02-06,399673.SZ,159949.SZ,0.607,0.18181818181818182,2,11,high_breadth_blocked
2018-02-07,000300.SH,510300.SH,4.4211849999999995,0.18181818181818182,2,11,high_breadth_blocked
2018-02-08,000300.SH,510300.SH,4.385115999999999,0.16666666666666666,2,12,high_breadth_blocked
2018-02-08,399324.SZ,159905.SZ,1.724,0.16666666666666666,2,12,high_breadth_blocked
2018-02-09,000300.SH,510300.SH,4.182911,0.25,3,12,high_breadth_blocked
2018-02-09,399324.SZ,159905.SZ,1.647,0.25,3,12,high_breadth_blocked
2018-03-23,000300.SH,510300.SH,4.256142,0.36363636363636365,4,11,high_breadth_blocked
2018-03-23,399673.SZ,159949.SZ,0.649,0.36363636363636365,4,11,high_breadth_blocked
2018-03-23,399330.SZ,159901.SZ,4.8978864,0.36363636363636365,4,11,high_breadth_blocked
2018-03-23,399986.SZ,512800.SH,1.011,0.36363636363636365,4,11,high_breadth_blocked
2018-03-26,000300.SH,510300.SH,4.2364679999999995,0.2727272727272727,3,11,high_breadth_blocked
2018-03-26,399330.SZ,159901.SZ,4.9185004,0.2727272727272727,3,11,high_breadth_blocked
2018-03-26,399986.SZ,512800.SH,0.989,0.2727272727272727,3,11,high_breadth_blocked
2018-03-28,000300.SH,510300.SH,4.188376,0.18181818181818182,2,11,high_breadth_blocked
2018-05-30,000300.SH,510300.SH,4.073611,0.45454545454545453,5,11,high_breadth_blocked
2018-05-30,399986.SZ,512800.SH,0.943,0.45454545454545453,5,11,high_breadth_blocked
2018-05-30,399330.SZ,159901.SZ,4.699991999999999,0.45454545454545453,5,11,high_breadth_blocked
2018-06-19,000300.SH,510300.SH,3.9894499999999997,0.36363636363636365,4,11,high_breadth_blocked
2018-06-19,399330.SZ,159901.SZ,4.504159,0.36363636363636365,4,11,high_breadth_blocked
2018-06-20,000300.SH,510300.SH,3.9894499999999997,0.2727272727272727,3,11,high_breadth_blocked
2018-06-20,399330.SZ,159901.SZ,4.5185888,0.2727272727272727,3,11,high_breadth_blocked
2018-06-21,000300.SH,510300.SH,3.95666,0.2727272727272727,3,11,high_breadth_blocked
2018-06-21,399330.SZ,159901.SZ,4.4515933,0.2727272727272727,3,11,high_breadth_blocked
2018-06-25,000300.SH,510300.SH,3.918405,0.18181818181818182,2,11,high_breadth_blocked
2018-06-25,399986.SZ,512800.SH,0.907,0.18181818181818182,2,11,high_breadth_blocked
2018-06-27,000300.SH,510300.SH,3.788338,0.18181818181818182,2,11,high_breadth_blocked
2018-06-27,399986.SZ,512800.SH,0.878,0.18181818181818182,2,11,high_breadth_blocked
2018-06-28,000300.SH,510300.SH,3.766478,0.18181818181818182,2,11,high_breadth_blocked
2018-06-28,399986.SZ,512800.SH,0.872,0.18181818181818182,2,11,high_breadth_blocked
2018-08-02,399673.SZ,159949.SZ,0.551,0.25,3,12,high_breadth_blocked
2018-08-02,399330.SZ,159901.SZ,4.1166158,0.25,3,12,high_breadth_blocked
2018-08-02,399967.SZ,512660.SH,0.673,0.25,3,12,high_breadth_blocked
